Days for shipping (real),Days for shipment (scheduled),Delivery Status,Shipping Mode,shipping date (DateOrders),Ship Id
4,4,Shipping on time,Standard Class,9/18/2015 5:14,377052
2,4,Advance shipping,Standard Class,10/23/2015 13:25,467681
2,4,Advance shipping,Standard Class,6/20/2015 23:14,388421
4,4,Shipping on time,Standard Class,7/26/2015 11:58,653166
2,4,Advance shipping,Standard Class,6/17/2015 7:39,439527
3,4,Advance shipping,Standard Class,8/4/2015 20:22,131270
5,4,Late delivery,Standard Class,6/25/2015 0:48,181088
4,4,Shipping on time,Standard Class,6/20/2015 3:37,595888
3,4,Advance shipping,Standard Class,11/9/2017 19:54,142670
4,4,Shipping on time,Standard Class,7/6/2015 6:45,204537
5,4,Late delivery,Standard Class,10/25/2016 21:51,373796
5,4,Late delivery,Standard Class,10/5/2015 17:29,859134
2,4,Advance shipping,Standard Class,7/28/2017 12:52,500549
5,4,Late delivery,Standard Class,8/27/2015 23:19,277052
5,4,Late delivery,Standard Class,7/13/2015 13:45,399411
4,4,Shipping on time,Standard Class,6/8/2015 16:36,835297
5,4,Late delivery,Standard Class,11/11/2017 6:36,446882
2,4,Advance shipping,Standard Class,6/25/2017 16:36,211664
6,4,Late delivery,Standard Class,6/26/2017 16:25,416655
3,4,Advance shipping,Standard Class,6/20/2015 0:17,840747
5,4,Late delivery,Standard Class,8/7/2015 12:50,386750
5,4,Late delivery,Standard Class,10/16/2015 5:44,235969
5,4,Late delivery,Standard Class,9/18/2017 6:19,604997
3,4,Advance shipping,Standard Class,7/2/2015 3:04,932993
3,4,Advance shipping,Standard Class,9/14/2015 19:05,960313
4,4,Shipping on time,Standard Class,9/5/2016 6:19,359238
5,4,Late delivery,Standard Class,9/4/2015 4:44,872428
3,4,Advance shipping,Standard Class,10/12/2015 19:45,368667
5,4,Late delivery,Standard Class,9/27/2015 13:17,999035
2,4,Advance shipping,Standard Class,7/6/2015 21:06,735281
4,4,Shipping on time,Standard Class,7/4/2015 17:57,803546
5,4,Late delivery,Standard Class,8/30/2017 8:37,303399
2,4,Advance shipping,Standard Class,7/3/2015 14:17,511629
6,4,Late delivery,Standard Class,10/26/2017 5:03,463171
3,4,Advance shipping,Standard Class,8/17/2015 4:24,524623
2,4,Advance shipping,Standard Class,8/8/2015 13:53,551210
5,4,Late delivery,Standard Class,7/20/2017 23:55,656853
6,4,Late delivery,Standard Class,8/30/2015 8:57,109940
6,4,Late delivery,Standard Class,10/5/2017 11:33,184329
2,4,Advance shipping,Standard Class,9/10/2015 3:09,648956
5,4,Late delivery,Standard Class,11/11/2017 22:22,865417
4,4,Shipping on time,Standard Class,11/9/2017 2:13,280378
6,4,Late delivery,Standard Class,1/16/2017 23:08,609032
6,4,Late delivery,Standard Class,8/8/2017 5:41,429941
2,4,Advance shipping,Standard Class,10/26/2016 3:37,471667
3,4,Advance shipping,Standard Class,9/3/2017 7:34,686168
2,4,Advance shipping,Standard Class,7/2/2015 3:15,760757
3,4,Advance shipping,Standard Class,9/29/2016 5:04,413176
2,4,Advance shipping,Standard Class,7/1/2017 3:58,209078
2,4,Advance shipping,Standard Class,7/15/2017 14:49,379415
4,4,Shipping on time,Standard Class,9/14/2017 6:09,798523
6,4,Late delivery,Standard Class,9/17/2015 6:07,943439
5,4,Late delivery,Standard Class,8/20/2015 12:38,708454
2,4,Advance shipping,Standard Class,6/22/2015 5:01,587880
2,4,Advance shipping,Standard Class,9/11/2017 1:25,231922
3,4,Advance shipping,Standard Class,6/10/2015 14:19,893716
2,4,Advance shipping,Standard Class,7/8/2017 12:54,657802
6,4,Late delivery,Standard Class,6/16/2015 13:26,259947
6,4,Late delivery,Standard Class,10/11/2015 11:41,716453
3,4,Advance shipping,Standard Class,6/24/2015 18:09,534866
3,4,Advance shipping,Standard Class,8/29/2015 5:26,384151
4,4,Shipping on time,Standard Class,7/21/2015 16:21,586389
2,4,Advance shipping,Standard Class,10/24/2015 15:42,889125
3,4,Advance shipping,Standard Class,1/4/2017 6:51,916813
2,4,Advance shipping,Standard Class,8/6/2015 18:05,193045
5,4,Late delivery,Standard Class,8/5/2015 22:18,529803
6,4,Late delivery,Standard Class,8/25/2015 22:06,171809
5,4,Late delivery,Standard Class,10/11/2017 9:37,182471
4,4,Shipping on time,Standard Class,11/14/2017 3:05,902761
2,4,Advance shipping,Standard Class,11/12/2017 0:38,126001
2,4,Advance shipping,Standard Class,11/9/2017 21:50,338576
3,4,Advance shipping,Standard Class,11/13/2017 6:14,667728
2,4,Advance shipping,Standard Class,3/28/2017 20:45,135130
4,4,Shipping on time,Standard Class,5/16/2017 0:32,805442
3,4,Advance shipping,Standard Class,5/19/2017 23:18,868575
6,4,Late delivery,Standard Class,3/29/2017 13:34,646789
4,4,Shipping on time,Standard Class,3/15/2015 0:04,770363
5,4,Late delivery,Standard Class,3/9/2015 12:31,980500
4,4,Shipping on time,Standard Class,1/16/2015 23:59,308799
6,4,Late delivery,Standard Class,4/5/2017 8:29,782731
2,4,Advance shipping,Standard Class,3/29/2017 10:46,385205
2,4,Advance shipping,Standard Class,3/8/2015 19:31,893974
5,4,Late delivery,Standard Class,6/22/2017 9:15,794800
3,4,Advance shipping,Standard Class,1/20/2015 17:29,891404
2,4,Advance shipping,Standard Class,5/25/2015 7:51,520342
6,4,Late delivery,Standard Class,5/28/2017 6:29,961083
3,4,Advance shipping,Standard Class,2/13/2015 7:18,724139
4,4,Shipping on time,Standard Class,1/13/2015 18:54,883813
5,4,Late delivery,Standard Class,3/15/2015 13:55,956151
5,4,Late delivery,Standard Class,2/13/2017 8:12,523578
5,4,Late delivery,Standard Class,5/15/2015 19:36,560575
2,4,Advance shipping,Standard Class,5/8/2015 0:42,295227
2,4,Advance shipping,Standard Class,1/12/2015 9:58,895176
3,4,Advance shipping,Standard Class,1/11/2015 21:32,995086
4,4,Shipping on time,Standard Class,2/5/2017 21:42,567264
4,4,Shipping on time,Standard Class,3/20/2017 7:27,938367
6,4,Late delivery,Standard Class,4/24/2015 22:26,419693
6,4,Late delivery,Standard Class,1/30/2015 22:12,132939
6,4,Late delivery,Standard Class,2/10/2017 6:27,633955
2,4,Advance shipping,Standard Class,4/22/2015 11:35,740752
5,4,Late delivery,Standard Class,1/15/2015 21:32,672699
4,4,Shipping on time,Standard Class,2/24/2017 8:53,365526
5,4,Late delivery,Standard Class,6/11/2017 22:45,161060
3,4,Advance shipping,Standard Class,5/12/2017 9:08,325949
4,4,Shipping on time,Standard Class,3/11/2017 0:59,610025
5,4,Late delivery,Standard Class,2/10/2015 21:08,274004
3,4,Advance shipping,Standard Class,4/6/2017 0:46,598698
4,4,Shipping on time,Standard Class,3/22/2017 17:15,495432
6,4,Late delivery,Standard Class,5/5/2017 20:42,455208
6,4,Late delivery,Standard Class,3/22/2017 15:09,693570
2,4,Advance shipping,Standard Class,2/8/2015 13:36,544673
6,4,Late delivery,Standard Class,4/13/2017 5:40,125736
6,4,Late delivery,Standard Class,3/13/2015 23:12,892632
2,4,Advance shipping,Standard Class,4/5/2017 21:26,900065
4,4,Shipping on time,Standard Class,4/23/2015 8:15,641721
5,4,Late delivery,Standard Class,6/19/2017 2:25,446562
2,4,Advance shipping,Standard Class,5/14/2015 0:20,511615
4,4,Shipping on time,Standard Class,4/14/2015 17:33,726117
3,4,Advance shipping,Standard Class,4/3/2015 22:28,113338
2,4,Advance shipping,Standard Class,1/30/2015 0:08,819366
4,4,Shipping on time,Standard Class,3/30/2015 23:42,908072
6,4,Late delivery,Standard Class,3/27/2015 23:32,795494
2,4,Advance shipping,Standard Class,4/15/2015 9:40,573974
6,4,Late delivery,Standard Class,1/26/2017 2:06,519948
2,4,Advance shipping,Standard Class,4/14/2015 0:23,186283
6,4,Late delivery,Standard Class,2/5/2015 23:36,414560
6,4,Late delivery,Standard Class,4/20/2017 12:50,751894
3,4,Advance shipping,Standard Class,2/21/2017 21:30,701890
2,4,Advance shipping,Standard Class,5/8/2015 9:27,130940
2,4,Advance shipping,Standard Class,5/27/2017 1:24,392375
3,4,Advance shipping,Standard Class,5/14/2017 15:26,828962
2,4,Advance shipping,Standard Class,3/22/2017 14:06,670344
3,4,Advance shipping,Standard Class,5/29/2017 14:32,178985
4,4,Shipping on time,Standard Class,5/23/2015 11:43,710741
6,4,Late delivery,Standard Class,3/12/2017 9:55,731174
6,4,Late delivery,Standard Class,5/13/2017 3:52,998695
6,4,Late delivery,Standard Class,2/9/2015 16:56,422503
3,4,Advance shipping,Standard Class,1/4/2015 21:22,321771
3,4,Advance shipping,Standard Class,6/18/2017 18:00,541276
2,4,Advance shipping,Standard Class,5/14/2017 12:06,178571
6,4,Late delivery,Standard Class,2/21/2015 19:43,590889
4,4,Shipping on time,Standard Class,3/2/2015 16:02,608923
6,4,Late delivery,Standard Class,6/12/2017 23:06,981888
2,4,Advance shipping,Standard Class,4/26/2015 8:25,550076
3,4,Advance shipping,Standard Class,5/28/2015 5:45,603191
3,4,Advance shipping,Standard Class,4/18/2015 9:18,367631
6,4,Late delivery,Standard Class,3/17/2017 5:32,864283
3,4,Advance shipping,Standard Class,6/4/2017 17:41,796842
3,4,Advance shipping,Standard Class,3/16/2015 2:31,688623
4,4,Shipping on time,Standard Class,3/27/2017 14:37,966942
5,4,Late delivery,Standard Class,3/9/2015 17:46,790390
3,4,Advance shipping,Standard Class,4/7/2015 12:18,749350
4,4,Shipping on time,Standard Class,6/16/2017 4:31,768597
3,4,Advance shipping,Standard Class,4/22/2015 16:39,395674
3,4,Advance shipping,Standard Class,2/27/2015 23:23,306935
2,4,Advance shipping,Standard Class,2/25/2015 8:30,614001
3,4,Advance shipping,Standard Class,5/29/2017 2:16,547678
3,4,Advance shipping,Standard Class,3/27/2017 21:48,590993
5,4,Late delivery,Standard Class,3/3/2017 12:23,939650
4,4,Shipping on time,Standard Class,6/7/2017 13:49,618847
3,4,Advance shipping,Standard Class,5/17/2015 17:30,553721
3,4,Advance shipping,Standard Class,3/15/2015 17:46,678061
6,4,Late delivery,Standard Class,3/10/2015 16:22,508072
3,4,Advance shipping,Standard Class,4/17/2015 10:32,167960
2,4,Advance shipping,Standard Class,5/27/2017 18:55,725570
3,4,Advance shipping,Standard Class,6/1/2017 16:06,392720
6,4,Late delivery,Standard Class,4/23/2017 21:25,690248
6,4,Late delivery,Standard Class,3/12/2015 1:39,533784
4,4,Shipping on time,Standard Class,5/19/2015 21:53,242119
6,4,Late delivery,Standard Class,2/16/2017 9:36,586174
2,4,Advance shipping,Standard Class,12/26/2017 7:56,486944
4,4,Shipping on time,Standard Class,12/28/2017 6:53,567491
5,4,Late delivery,Standard Class,12/31/2017 15:17,732052
4,4,Shipping on time,Standard Class,12/5/2017 7:05,633075
6,4,Late delivery,Standard Class,1/14/2018 4:56,887754
2,4,Advance shipping,Standard Class,11/22/2017 18:08,947100
2,4,Advance shipping,Standard Class,1/5/2018 9:40,477572
3,4,Advance shipping,Standard Class,1/19/2016 13:49,259205
2,4,Advance shipping,Standard Class,2/4/2016 17:08,420290
4,4,Shipping on time,Standard Class,3/19/2016 13:34,232306
6,4,Late delivery,Standard Class,12/16/2015 23:31,887082
2,4,Advance shipping,Standard Class,11/23/2016 7:47,668803
6,4,Late delivery,Standard Class,2/28/2016 13:15,150606
5,4,Late delivery,Standard Class,11/24/2015 19:10,947970
4,4,Shipping on time,Standard Class,1/31/2018 10:41,421335
2,4,Advance shipping,Standard Class,3/20/2016 23:12,113668
2,4,Advance shipping,Standard Class,1/17/2016 9:27,241652
2,4,Advance shipping,Standard Class,12/27/2015 3:42,766785
5,4,Late delivery,Standard Class,12/28/2015 10:42,954048
2,4,Advance shipping,Standard Class,11/21/2015 19:52,660465
6,4,Late delivery,Standard Class,12/16/2016 13:53,583158
4,4,Shipping on time,Standard Class,12/31/2017 8:27,373107
6,4,Late delivery,Standard Class,1/22/2016 13:07,897405
4,4,Shipping on time,Standard Class,1/1/2016 0:43,195256
2,4,Advance shipping,Standard Class,1/19/2017 13:08,570726
2,4,Advance shipping,Standard Class,12/23/2017 20:22,572140
4,4,Shipping on time,Standard Class,2/4/2016 18:32,783267
4,4,Shipping on time,Standard Class,12/9/2015 6:11,408854
2,4,Advance shipping,Standard Class,9/26/2016 21:11,255991
6,4,Late delivery,Standard Class,12/19/2017 21:05,870024
6,4,Late delivery,Standard Class,2/10/2016 10:49,569884
6,4,Late delivery,Standard Class,11/19/2015 7:36,666906
4,4,Shipping on time,Standard Class,2/8/2016 10:07,498505
2,4,Advance shipping,Standard Class,3/18/2016 9:53,302722
6,4,Late delivery,Standard Class,11/5/2015 14:17,198455
5,4,Late delivery,Standard Class,2/13/2016 2:03,985827
4,4,Shipping on time,Standard Class,12/31/2017 18:58,906193
2,4,Advance shipping,Standard Class,3/5/2016 8:20,730896
5,4,Late delivery,Standard Class,3/31/2016 2:10,284270
6,4,Late delivery,Standard Class,2/12/2016 17:07,411608
2,4,Advance shipping,Standard Class,11/27/2015 14:15,910889
2,4,Advance shipping,Standard Class,11/21/2015 11:06,601559
6,4,Late delivery,Standard Class,11/30/2017 11:07,832988
6,4,Late delivery,Standard Class,2/6/2018 4:43,615507
3,4,Advance shipping,Standard Class,11/12/2016 12:21,131063
2,4,Advance shipping,Standard Class,12/25/2017 0:24,236674
2,4,Advance shipping,Standard Class,4/1/2016 1:28,751289
5,4,Late delivery,Standard Class,1/6/2016 11:55,739901
3,4,Advance shipping,Standard Class,12/21/2017 17:24,296276
5,4,Late delivery,Standard Class,10/30/2015 18:19,503314
5,4,Late delivery,Standard Class,2/25/2016 4:50,428806
4,4,Shipping on time,Standard Class,11/27/2017 15:09,111312
4,4,Shipping on time,Standard Class,12/8/2015 17:55,875863
3,4,Advance shipping,Standard Class,3/8/2016 23:44,890759
4,4,Shipping on time,Standard Class,11/4/2015 3:36,548790
3,4,Advance shipping,Standard Class,12/4/2015 5:29,647203
2,4,Advance shipping,Standard Class,2/26/2016 7:38,905593
5,4,Late delivery,Standard Class,3/8/2016 0:37,177653
6,4,Late delivery,Standard Class,2/21/2016 18:20,392010
3,4,Advance shipping,Standard Class,11/13/2016 0:37,648080
5,4,Late delivery,Standard Class,1/12/2016 16:49,408493
6,4,Late delivery,Standard Class,11/19/2015 2:21,612380
2,4,Advance shipping,Standard Class,11/16/2017 16:45,323287
3,4,Advance shipping,Standard Class,11/16/2017 7:49,326705
2,4,Advance shipping,Standard Class,11/20/2017 1:19,698422
5,4,Late delivery,Standard Class,2/5/2016 11:53,223835
2,4,Advance shipping,Standard Class,12/21/2015 2:18,606772
6,4,Late delivery,Standard Class,12/17/2015 11:46,642985
3,4,Advance shipping,Standard Class,12/8/2015 23:21,524200
4,4,Shipping on time,Standard Class,12/2/2015 4:16,907762
6,4,Late delivery,Standard Class,9/2/2016 21:55,325137
4,4,Shipping on time,Standard Class,1/9/2016 6:39,776882
2,4,Advance shipping,Standard Class,1/12/2017 5:58,645395
5,4,Late delivery,Standard Class,1/1/2016 19:48,353803
4,4,Shipping on time,Standard Class,3/25/2016 0:57,580071
4,4,Shipping on time,Standard Class,2/2/2016 15:44,164521
4,4,Shipping on time,Standard Class,11/25/2015 16:21,425845
3,4,Advance shipping,Standard Class,2/22/2016 10:37,783140
4,4,Shipping on time,Standard Class,7/3/2016 6:04,666444
6,4,Late delivery,Standard Class,12/31/2016 0:44,674968
5,4,Late delivery,Standard Class,8/2/2016 19:52,971017
4,4,Shipping on time,Standard Class,5/11/2016 13:19,582479
2,4,Advance shipping,Standard Class,4/15/2016 12:18,874588
3,4,Advance shipping,Standard Class,8/20/2016 17:23,960955
6,4,Late delivery,Standard Class,5/29/2016 3:08,253482
6,4,Late delivery,Standard Class,5/12/2016 15:15,953916
3,4,Advance shipping,Standard Class,7/29/2016 11:06,573029
6,4,Late delivery,Standard Class,8/19/2016 23:20,527284
6,4,Late delivery,Standard Class,7/1/2016 8:10,231132
6,4,Late delivery,Standard Class,4/10/2016 14:14,516737
5,4,Late delivery,Standard Class,5/25/2016 20:29,852295
5,4,Late delivery,Standard Class,7/16/2016 7:27,262269
6,4,Late delivery,Standard Class,5/2/2016 11:45,292328
3,4,Advance shipping,Standard Class,7/9/2016 11:08,907419
5,4,Late delivery,Standard Class,8/29/2016 4:14,611568
6,4,Late delivery,Standard Class,7/13/2016 0:27,893343
3,4,Advance shipping,Standard Class,5/3/2016 12:48,277557
4,4,Shipping on time,Standard Class,4/15/2016 11:57,194116
4,4,Shipping on time,Standard Class,4/15/2016 1:27,956705
2,4,Advance shipping,Standard Class,7/10/2016 15:20,857244
5,4,Late delivery,Standard Class,4/28/2016 2:50,349923
3,4,Advance shipping,Standard Class,4/5/2016 15:39,744368
4,4,Shipping on time,Standard Class,7/8/2016 12:11,372326
5,4,Late delivery,Standard Class,6/21/2016 15:22,585663
6,4,Late delivery,Standard Class,4/20/2016 10:43,583059
2,4,Advance shipping,Standard Class,4/18/2016 5:07,351133
5,4,Late delivery,Standard Class,7/19/2016 21:17,432003
2,4,Advance shipping,Standard Class,5/10/2016 7:53,463279
6,4,Late delivery,Standard Class,7/27/2016 23:33,187488
3,4,Advance shipping,Standard Class,6/25/2016 21:19,475855
5,4,Late delivery,Standard Class,8/14/2016 15:38,610890
2,4,Advance shipping,Standard Class,6/1/2016 8:54,794179
5,4,Late delivery,Standard Class,4/10/2016 2:09,921204
2,4,Advance shipping,Standard Class,4/24/2016 20:31,747208
4,4,Shipping on time,Standard Class,7/25/2016 17:36,578850
6,4,Late delivery,Standard Class,4/16/2016 1:37,546772
3,4,Advance shipping,Standard Class,7/3/2016 2:44,806739
2,4,Advance shipping,Standard Class,4/12/2016 17:44,529318
5,4,Late delivery,Standard Class,4/29/2016 6:51,901722
4,4,Shipping on time,Standard Class,6/26/2016 19:55,812579
4,4,Shipping on time,Standard Class,4/14/2016 0:55,725481
2,4,Advance shipping,Standard Class,5/11/2016 3:09,665902
4,4,Shipping on time,Standard Class,6/2/2016 2:05,651783
5,4,Late delivery,Standard Class,8/6/2016 2:41,779993
2,4,Advance shipping,Standard Class,7/20/2016 8:19,167669
5,4,Late delivery,Standard Class,8/12/2016 9:20,714353
5,4,Late delivery,Standard Class,5/5/2016 4:45,166825
4,4,Shipping on time,Standard Class,5/11/2016 8:04,546829
5,4,Late delivery,Standard Class,7/15/2016 10:26,995989
3,4,Advance shipping,Standard Class,4/12/2016 22:49,325411
5,4,Late delivery,Standard Class,4/28/2016 11:35,210804
6,4,Late delivery,Standard Class,5/31/2016 16:27,461695
2,4,Advance shipping,Standard Class,8/14/2016 2:09,348368
5,4,Late delivery,Standard Class,8/2/2016 9:21,864827
3,4,Advance shipping,Standard Class,6/18/2016 10:38,605887
6,4,Late delivery,Standard Class,7/26/2016 3:45,822902
6,4,Late delivery,Standard Class,6/21/2016 20:27,520554
3,4,Advance shipping,Standard Class,4/14/2016 20:22,647100
5,4,Late delivery,Standard Class,8/25/2016 10:54,787505
6,4,Late delivery,Standard Class,6/28/2016 15:21,462702
5,4,Late delivery,Standard Class,6/1/2016 20:39,679507
6,4,Late delivery,Standard Class,4/25/2016 4:35,636927
5,4,Late delivery,Standard Class,5/1/2016 13:09,512070
2,4,Advance shipping,Standard Class,7/3/2016 1:09,670404
5,4,Late delivery,Standard Class,8/8/2016 7:14,657144
5,4,Late delivery,Standard Class,5/2/2016 22:26,158051
6,4,Late delivery,Standard Class,6/15/2016 8:32,393055
2,4,Advance shipping,Standard Class,7/4/2016 17:27,844944
2,4,Advance shipping,Standard Class,8/21/2016 18:05,294121
5,4,Late delivery,Standard Class,4/19/2016 22:38,877346
5,4,Late delivery,Standard Class,4/23/2016 7:13,931804
2,4,Advance shipping,Standard Class,4/10/2016 23:42,121594
3,4,Advance shipping,Standard Class,4/23/2016 0:33,590985
2,4,Advance shipping,Standard Class,4/24/2016 13:31,598947
4,4,Shipping on time,Standard Class,5/11/2016 2:48,926540
5,4,Late delivery,Standard Class,4/24/2016 23:30,385088
4,4,Shipping on time,Standard Class,4/29/2016 15:47,375905
5,4,Late delivery,Standard Class,4/17/2016 16:20,484096
2,4,Advance shipping,Standard Class,4/26/2016 19:49,814503
2,4,Advance shipping,Standard Class,5/26/2016 14:31,161878
4,4,Shipping on time,Standard Class,8/17/2016 10:23,994548
5,4,Late delivery,Standard Class,4/20/2016 21:24,590247
4,4,Shipping on time,Standard Class,5/5/2016 22:26,974641
4,4,Shipping on time,Standard Class,7/21/2016 22:30,878823
3,4,Advance shipping,Standard Class,4/12/2016 17:34,847499
2,4,Advance shipping,Standard Class,4/14/2016 15:17,535143
4,4,Shipping on time,Standard Class,4/21/2016 6:20,224149
4,4,Shipping on time,Standard Class,5/30/2016 23:17,473158
5,4,Late delivery,Standard Class,7/10/2016 0:48,194999
3,4,Advance shipping,Standard Class,5/28/2016 10:08,705670
4,4,Shipping on time,Standard Class,4/12/2016 17:23,558036
2,4,Advance shipping,Standard Class,5/11/2016 18:55,275732
2,4,Advance shipping,Standard Class,5/16/2016 12:47,170168
5,4,Late delivery,Standard Class,5/17/2016 16:17,654264
6,4,Late delivery,Standard Class,7/18/2016 11:49,145432
4,4,Shipping on time,Standard Class,6/18/2016 20:58,562696
5,4,Late delivery,Standard Class,7/13/2016 11:08,620454
2,4,Advance shipping,Standard Class,6/27/2016 1:31,841764
3,4,Advance shipping,Standard Class,7/28/2016 17:35,691793
2,4,Advance shipping,Standard Class,6/22/2016 23:25,110037
5,4,Late delivery,Standard Class,4/16/2016 15:48,440812
4,4,Shipping on time,Standard Class,5/28/2016 1:12,239378
4,4,Shipping on time,Standard Class,8/27/2016 13:52,692988
2,4,Advance shipping,Standard Class,8/16/2016 3:12,160850
2,4,Advance shipping,Standard Class,4/14/2016 1:16,161326
6,4,Late delivery,Standard Class,5/11/2016 9:28,664455
5,4,Late delivery,Standard Class,5/28/2016 1:02,862833
6,4,Late delivery,Standard Class,5/14/2016 12:47,749202
6,4,Late delivery,Standard Class,7/14/2016 18:29,886029
5,4,Late delivery,Standard Class,5/28/2016 16:48,691764
3,4,Advance shipping,Standard Class,7/20/2016 20:24,690456
5,4,Late delivery,Standard Class,8/2/2016 2:21,143848
6,4,Late delivery,Standard Class,6/26/2016 21:19,666848
5,4,Late delivery,Standard Class,6/28/2016 12:02,478379
4,4,Shipping on time,Standard Class,5/7/2016 14:43,755132
5,4,Late delivery,Standard Class,4/23/2016 22:59,691341
6,4,Late delivery,Standard Class,6/12/2016 1:43,156034
2,4,Advance shipping,Standard Class,4/13/2016 4:15,145615
3,4,Advance shipping,Standard Class,7/26/2016 6:02,431698
3,4,Advance shipping,Standard Class,5/14/2016 2:48,722605
4,4,Shipping on time,Standard Class,8/11/2016 7:14,720573
5,4,Late delivery,Standard Class,5/23/2016 0:10,248949
4,4,Shipping on time,Standard Class,4/5/2016 22:29,240604
6,4,Late delivery,Standard Class,6/22/2016 22:43,352513
6,4,Late delivery,Standard Class,5/16/2016 5:05,450739
2,4,Advance shipping,Standard Class,6/21/2016 22:53,438520
5,4,Late delivery,Standard Class,5/11/2016 21:54,535644
3,4,Advance shipping,Standard Class,4/16/2016 0:23,427121
4,4,Shipping on time,Standard Class,4/26/2016 3:42,637835
2,4,Advance shipping,Standard Class,9/6/2016 8:57,526584
3,4,Advance shipping,Standard Class,8/21/2016 14:24,230940
6,4,Late delivery,Standard Class,5/15/2016 18:34,428138
2,4,Advance shipping,Standard Class,9/1/2016 1:04,869906
3,4,Advance shipping,Standard Class,4/6/2016 16:10,361616
3,4,Advance shipping,Standard Class,4/19/2016 21:14,541014
4,4,Shipping on time,Standard Class,6/18/2016 19:13,869334
3,4,Advance shipping,Standard Class,4/6/2016 17:55,508776
3,4,Advance shipping,Standard Class,8/12/2016 18:26,354000
6,4,Late delivery,Standard Class,8/12/2016 5:39,117439
2,4,Advance shipping,Standard Class,4/17/2016 6:20,378998
6,4,Late delivery,Standard Class,4/26/2016 1:36,140544
3,4,Advance shipping,Standard Class,5/9/2016 3:41,182734
2,4,Advance shipping,Standard Class,7/16/2016 7:58,313055
6,4,Late delivery,Standard Class,8/10/2016 11:37,451454
2,4,Advance shipping,Standard Class,5/19/2016 23:07,531009
3,4,Advance shipping,Standard Class,8/19/2016 16:51,526388
5,4,Late delivery,Standard Class,5/10/2016 5:37,212192
4,4,Shipping on time,Standard Class,5/14/2016 11:23,947539
5,4,Late delivery,Standard Class,8/25/2016 21:24,596005
5,4,Late delivery,Standard Class,8/14/2016 5:08,426018
4,4,Shipping on time,Standard Class,6/19/2016 9:14,584552
3,4,Advance shipping,Standard Class,8/1/2016 5:40,595528
6,4,Late delivery,Standard Class,6/28/2016 20:37,492147
4,4,Shipping on time,Standard Class,7/9/2016 2:12,764024
5,4,Late delivery,Standard Class,4/28/2016 6:20,636123
2,4,Advance shipping,Standard Class,7/27/2016 3:13,579299
3,4,Advance shipping,Standard Class,7/10/2016 13:24,168457
3,4,Advance shipping,Standard Class,4/24/2016 8:05,274558
4,4,Shipping on time,Standard Class,4/10/2016 14:35,336583
3,4,Advance shipping,Standard Class,5/1/2016 17:01,753763
4,4,Shipping on time,Standard Class,7/5/2016 8:52,174514
2,4,Advance shipping,Standard Class,7/10/2016 18:50,434395
2,4,Advance shipping,Standard Class,7/27/2016 1:28,718607
6,4,Late delivery,Standard Class,4/18/2016 23:41,689912
5,4,Late delivery,Standard Class,5/1/2016 23:40,458518
6,4,Late delivery,Standard Class,8/23/2016 6:10,128586
3,4,Advance shipping,Standard Class,7/5/2016 21:18,452004
6,4,Late delivery,Standard Class,6/18/2016 1:21,539342
5,4,Late delivery,Standard Class,4/19/2016 6:52,879502
2,4,Advance shipping,Standard Class,6/9/2016 16:36,935682
4,4,Shipping on time,Standard Class,5/30/2016 16:16,635834
6,4,Late delivery,Standard Class,7/8/2016 4:50,495962
4,4,Shipping on time,Standard Class,6/21/2016 22:33,440194
4,4,Shipping on time,Standard Class,7/14/2016 8:19,870727
5,4,Late delivery,Standard Class,5/24/2016 16:27,615792
4,4,Shipping on time,Standard Class,7/6/2016 2:23,681833
5,4,Late delivery,Standard Class,7/11/2016 22:21,797805
5,4,Late delivery,Standard Class,4/12/2016 11:57,622776
3,4,Advance shipping,Standard Class,8/10/2016 6:53,225097
4,4,Shipping on time,Standard Class,5/28/2016 15:13,361081
3,4,Advance shipping,Standard Class,4/18/2016 1:26,709025
3,4,Advance shipping,Standard Class,4/9/2016 8:59,133608
5,4,Late delivery,Standard Class,8/30/2016 8:16,972895
2,4,Advance shipping,Standard Class,7/4/2016 5:11,179063
6,4,Late delivery,Standard Class,5/23/2016 19:16,309767
4,4,Shipping on time,Standard Class,8/8/2016 14:25,363621
2,4,Advance shipping,Standard Class,4/21/2016 20:42,426280
5,4,Late delivery,Standard Class,4/23/2016 10:43,481823
2,4,Advance shipping,Standard Class,7/11/2016 1:51,470367
2,4,Advance shipping,Standard Class,7/27/2016 10:14,232123
5,4,Late delivery,Standard Class,7/15/2016 6:55,943573
6,4,Late delivery,Standard Class,4/19/2016 15:27,362072
6,4,Late delivery,Standard Class,5/2/2016 15:16,726566
6,4,Late delivery,Standard Class,8/25/2016 17:44,636151
6,4,Late delivery,Standard Class,10/14/2016 7:09,309883
6,4,Late delivery,Standard Class,8/31/2016 15:37,808909
5,4,Late delivery,Standard Class,6/15/2016 3:28,460213
3,4,Advance shipping,Standard Class,7/21/2016 5:10,142263
4,4,Shipping on time,Standard Class,6/19/2016 0:29,930837
3,4,Advance shipping,Standard Class,4/18/2016 22:27,102121
2,4,Advance shipping,Standard Class,11/3/2016 20:05,195194
5,4,Late delivery,Standard Class,12/19/2016 22:39,739480
6,4,Late delivery,Standard Class,11/21/2016 9:33,563812
2,4,Advance shipping,Standard Class,10/18/2016 22:12,862942
4,4,Shipping on time,Standard Class,1/5/2017 14:13,642842
